id,x,y,length,width,angle
sp,1718.89,1555.73,9.456052929,2.466350543,209.6366585
sp100,2452.329,1709.253,10.5384542,4.439665077,323.3138675
sp11b,3748.403,2337.15,6.868390496,2.37759227,206.8485805
sp12b,3901.443,2347.025,9.177275467,2.902579542,179.0447426
sp13b,3907.228,2338.891,7.43846866,2.548698884,228.8372621
sp14b,3958.11,2406.681,13.26902747,4.24963822,19.04123074
sp15b,3694.212,2682.988,13.57133556,4.767394676,232.1624145
sp16b,3634.66,2733.626,9.166117662,4.283120475,249.613687
sp17b,3413.477,2679.565,6.500920319,3.294739595,35.4772295
sp19b,3542.079,2242.406,6.154187192,1.432543193,270.4468868
sp20b,3557.216,2873.482,5.596170119,2.665579299,140.9180604
sp21b,3725.926,3094.299,12.24763324,5.806413437,41.26601968
sp22b,3499.315,3171.744,5.387230272,1.250835321,268.3512731
sp23b,3075.313,3015.195,6.624955622,4.275678426,143.8721625
sp24b,3241.972,3103.37,10.57254123,2.506264152,23.27686533
sp25b,2812.64,2800.151,6.069059235,2.48328331,290.4654399
sp26b,2696.271,2753.804,7.029546571,3.041988987,256.5587952
sp27,2258.186,1908.641,12.7408683,2.514936381,330.829647
sp27b,2919.247,2503.225,6.958194306,2.481217645,242.7868175
sp28b,2840.181,2486.483,10.16800521,3.615983407,216.5058801
sp29b,3241.815,1954.968,17.58628025,3.610571284,16.26984833
sp30b,2957.399,1746.116,10.07566345,5.264345163,220.645087
sp31b,2969.577,2252.052,20.95137365,3.799744202,31.32676315
sp32b,2795.856,1826.093,8.280421064,3.289,91.64705076
sp33b,2702.442,2134.558,13.64249545,1.731718799,39.67060085
sp34b,2622.317,1607.237,6.443914416,3.040744975,37.21133157
sp35b,2762.7,1332.516,13.91703776,2.549486615,31.50177567
sp37b,2354.963,2504.607,8.949801897,3.000723246,205.5142644
sp38b,2162.719,2454.51,7.35974789,2.97847696,190.6488273
sp39b,2334.253,2090.553,9.732006217,1.757643877,8.384045511
sp41,2869.254,1800.504,6.845526788,2.598019438,209.0212732
sp48,2592.425,2017.495,9.731646726,4.685700161,356.0049893
sp49,2365.893,1890.177,7.830820774,3.902618864,43.04396548
sp51,2084.658,2091.901,6.931625278,2.774759269,40.10190586
sp52,2525.83,1831.263,10.44577637,3.690309472,240.4605815
sp54,2081.233,2076.771,21.50921758,2.196734395,52.34532883
sp57,2244.118,1846.234,22.4733768,2.107496145,47.45431471
sp59,2018.338,2062.969,12.5669558,4.355287017,39.28427427
sp5b,2365.932,1719.772,10.75467563,4.339293952,87.21794003
sp60,1947.124,1572.428,7.913272016,3.433556756,13.11075379
sp62,2268.712,1995.944,10.06527943,3.729363753,37.29683296
sp65,960.538,1147.089,5.017864087,2.189104155,116.156532
sp66,1798.874,1815.228,13.60747107,3.989659885,239.7114357
sp67,1057.53,1218.07,7.652327032,1.842081974,199.6875689
sp69,1618.791,1241.37,10.35615532,5.398990739,115.4911749
sp6b,2257.797,1491.344,5.923054702,1.64527718,205.2757784
sp71,558.515,956.757,11.46328155,4.338645987,49.91156809
sp72,1462.686,1618.854,5.31157246,2.337553636,119.5428491
sp73,998.538,1161.411,8.071887078,2.759657406,206.24126
sp76,2359.173,1314.187,5.330424092,1.938691569,20.70952805
sp78,2267.087,1862.334,10.68175552,2.502582666,4.348926952
sp79,1922.878,3009.832,6.954772318,2.888455643,79.00027795
sp7b,2318.191,2459.66,11.70905688,2.751404187,15.05812943
sp83,1650.673,1410.266,9.787314085,3.369416122,187.3907736
sp84,2446.74,1371.327,10.84019377,4.236180473,211.7297336
sp88,1932.085,1928.785,9.984259862,4.75050871,187.3599067
sp89,549.707,939.984,7.64701105,2.42612613,168.4814102
sp8b,2426.073,2399.98,8.420048456,3.076286723,260.1528478
sp91,1930.442,1947.104,11.92514792,2.150721972,219.6413209
sp95,2179.181,1846.673,9.320621117,2.227698364,71.26957444
sp96,2060.657,1483.519,10.32468159,2.799801779,34.14411457
sp97,454.999,857.364,3.806519802,1.807972621,9.251986224
sp98,487.484,741.652,11.29415645,1.994718025,14.03501307
sp99,1165.361,1522.665,8.993181639,1.803930431,38.88865584
tf1,1168.079,2471.683,7.600584254,2.464269669,4.217739661
tf2,750.011,2422.366,14.30323998,2.361918288,81.41555644
tf3,1092.208,2504.572,7.69627215,4.625892779,268.6077201
tf4,1061.807,2399.313,9.516389704,2.096726973,194.6261932
